trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1445,False,"{'a': 0.2, 'e': 0.003101095012572251}",20,11,14.856494308293906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1446,False,"{'a': 0.2, 'e': 0.0030887154082367687}",30,18,22.536538922454913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1447,False,"{'a': 0.2, 'e': 0.003076385223413711}",35,23,19.609375702701747,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1448,False,"{'a': 0.2, 'e': 0.0030641042608198525}",30,10,34.543445180167765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1449,False,"{'a': 0.2, 'e': 0.00305187232395954}",20,16,7.319277664278162,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1450,False,"{'a': 0.2, 'e': 0.0030396892171215173}",20,13,13.399240933710043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1451,False,"{'a': 0.2, 'e': 0.0030275547453758153}",30,12,30.56363273139016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1452,False,"{'a': 0.2, 'e': 0.0030154687145706243}",20,14,11.452577983671942,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1453,False,"{'a': 0.2, 'e': 0.003003430931329197}",25,18,13.299450395549552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1454,False,"{'a': 0.2, 'e': 0.0029914412030467466}",25,1,35.32239579181472,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1455,False,"{'a': 0.2, 'e': 0.0029794993378873596}",20,6,25.31206395398418,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1456,False,"{'a': 0.2, 'e': 0.002967605144780944}",30,10,27.45491493202455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1457,False,"{'a': 0.2, 'e': 0.002955758433420154}",20,12,15.016495270774787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1458,False,"{'a': 0.2, 'e': 0.00294395901425735}",20,8,20.85964890618243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1459,False,"{'a': 0.2, 'e': 0.0029322066985015835}",20,10,22.228566819267343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1460,False,"{'a': 0.2, 'e': 0.002920501298115547}",30,19,20.70622477306689,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1461,False,"{'a': 0.2, 'e': 0.002908842625812584}",20,10,17.812720133280386,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1462,False,"{'a': 0.2, 'e': 0.002897230495053687}",20,9,22.292062990490688,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1463,False,"{'a': 0.2, 'e': 0.002885664720044519}",25,0,41.12804181238663,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1464,False,"{'a': 0.2, 'e': 0.0028741451157324343}",30,16,28.004012947956134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1465,False,"{'a': 0.2, 'e': 0.0028626714978035143}",20,11,16.93759892939238,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1466,False,"{'a': 0.2, 'e': 0.0028512436826796323}",20,10,19.199745116452412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1467,False,"{'a': 0.2, 'e': 0.0028398614875154993}",20,10,19.640452792238275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1468,False,"{'a': 0.2, 'e': 0.0028285247301957452}",25,12,23.215862247824415,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1469,False,"{'a': 0.2, 'e': 0.0028172332293320214}",25,14,22.504029570567088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1470,False,"{'a': 0.2, 'e': 0.002805986804260068}",20,12,14.442352155886766,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1471,False,"{'a': 0.2, 'e': 0.0027947852750368437}",20,10,19.117052143600848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1472,False,"{'a': 0.2, 'e': 0.0027836284624376422}",20,6,25.80863634152359,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1473,False,"{'a': 0.2, 'e': 0.002772516187953219}",20,15,10.26727425707854,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1474,False,"{'a': 0.2, 'e': 0.0027614482737869546}",25,13,22.313086012441275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1475,False,"{'a': 0.2, 'e': 0.002750424542851982}",20,6,22.780315295481305,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1476,False,"{'a': 0.2, 'e': 0.0027394448187683684}",20,16,10.628474287256019,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1477,False,"{'a': 0.2, 'e': 0.0027285089258602987}",30,3,39.27267923445687,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1478,False,"{'a': 0.2, 'e': 0.0027176166891532487}",30,7,36.227054230990426,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
